-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  50.854   Longitude 4.3484 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 76.01 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
50.85401,4.34841,1983,09,26,   20.70,    6.63,   13.86,   14.06
50.85401,4.34841,1983,09,27,   22.01,   10.04,   15.60,   11.97
50.85401,4.34841,1983,09,28,   22.37,   10.85,   15.70,   11.52
50.85401,4.34841,1983,09,29,   22.11,    9.74,   16.22,   12.37
50.85401,4.34841,1983,09,30,   19.75,   10.71,   15.13,    9.05
50.85401,4.34841,1983,10,01,   17.96,    8.37,   12.62,    9.59
50.85401,4.34841,1983,10,02,   20.02,   13.31,   15.99,    6.71
50.85401,4.34841,1983,10,03,   21.90,   15.07,   17.74,    6.83
50.85401,4.34841,1983,10,04,   23.51,   15.21,   18.65,    8.29
50.85401,4.34841,1983,10,05,   18.70,   10.87,   14.99,    7.83
50.85401,4.34841,1983,10,06,   17.31,    9.42,   12.81,    7.90
50.85401,4.34841,1983,10,07,   16.34,    9.07,   12.67,    7.28
50.85401,4.34841,1983,10,08,   14.13,    7.80,   11.35,    6.33
50.85401,4.34841,1983,10,09,   14.67,   10.93,   13.13,    3.74
50.85401,4.34841,1983,10,10,   15.42,    9.69,   12.55,    5.73
50.85401,4.34841,1983,10,11,   12.22,    8.07,    9.92,    4.14
50.85401,4.34841,1983,10,12,   14.06,    6.20,   10.06,    7.86
50.85401,4.34841,1983,10,13,   18.49,    6.78,   12.89,   11.71
50.85401,4.34841,1983,10,14,   14.88,    8.82,   11.50,    6.07
50.85401,4.34841,1983,10,15,   14.45,    9.96,   12.07,    4.49
50.85401,4.34841,1983,10,16,   11.96,    7.83,    9.86,    4.12
50.85401,4.34841,1983,10,17,   12.38,    7.21,    9.31,    5.16
50.85401,4.34841,1983,10,18,   15.11,    7.40,   11.66,    7.71
50.85401,4.34841,1983,10,19,   13.87,    7.01,   11.37,    6.86
50.85401,4.34841,1983,10,20,   11.54,    4.06,    7.59,    7.48
50.85401,4.34841,1983,10,21,   11.18,    2.25,    6.42,    8.93
50.85401,4.34841,1983,10,22,   11.26,    1.21,    4.96,   10.05
50.85401,4.34841,1983,10,23,   13.55,   -1.40,    5.47,   14.95
50.85401,4.34841,1983,10,24,   11.56,   -0.94,    5.14,   12.51
50.85401,4.34841,1983,10,25,    7.85,    2.59,    4.98,    5.26
50.85401,4.34841,1983,10,26,   14.26,    4.95,    8.18,    9.31
50.85401,4.34841,1983,10,27,   14.09,    5.51,    8.41,    8.57
50.85401,4.34841,1983,10,28,   10.71,    5.64,    7.98,    5.07
50.85401,4.34841,1983,10,29,    8.95,    0.29,    5.02,    8.66
50.85401,4.34841,1983,10,30,    7.70,   -0.78,    3.58,    8.48
50.85401,4.34841,1983,10,31,   10.86,    5.37,    8.28,    5.48
50.85401,4.34841,1983,11,01,   12.63,    6.37,    9.51,    6.27
50.85401,4.34841,1983,11,02,   16.36,    8.18,   11.49,    8.19
50.85401,4.34841,1983,11,03,   12.48,    6.43,    8.21,    6.06
50.85401,4.34841,1983,11,04,   15.10,    6.31,    9.09,    8.79
50.85401,4.34841,1983,11,05,   14.62,    5.32,    8.92,    9.30
50.85401,4.34841,1983,11,06,   13.79,    5.92,    8.73,    7.86
50.85401,4.34841,1983,11,07,   14.74,    6.22,    8.50,    8.52
50.85401,4.34841,1983,11,08,   15.61,    6.35,   10.06,    9.27
50.85401,4.34841,1983,11,09,   16.30,    6.12,   10.03,   10.18
50.85401,4.34841,1983,11,10,   12.49,    2.52,    6.42,    9.98
50.85401,4.34841,1983,11,11,    9.26,    2.12,    4.55,    7.14
50.85401,4.34841,1983,11,12,    8.07,   -1.89,    2.58,    9.96
50.85401,4.34841,1983,11,13,    4.80,   -3.83,   -0.20,    8.63
50.85401,4.34841,1983,11,14,    2.25,   -5.34,   -2.65,    7.60
50.85401,4.34841,1983,11,15,    2.73,   -5.52,   -0.67,    8.25
50.85401,4.34841,1983,11,16,    7.46,    0.84,    3.31,    6.62
50.85401,4.34841,1983,11,17,    7.60,    2.25,    4.20,    5.35
50.85401,4.34841,1983,11,18,    5.15,    0.05,    1.83,    5.10
50.85401,4.34841,1983,11,19,    5.92,    0.30,    2.01,    5.61
50.85401,4.34841,1983,11,20,    5.29,    0.46,    2.39,    4.83
50.85401,4.34841,1983,11,21,    6.58,   -1.67,    1.77,    8.25
50.85401,4.34841,1983,11,22,    4.98,   -1.16,    1.24,    6.15
50.85401,4.34841,1983,11,23,    5.14,   -2.70,    0.09,    7.84
