-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  50.2596   Longitude 4.9519 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 213.65 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
50.25961,4.95191,1983,10,04,   23.57,   14.53,   18.10,    9.04
50.25961,4.95191,1983,10,05,   18.43,   10.11,   14.99,    8.32
50.25961,4.95191,1983,10,06,   16.45,    8.54,   12.06,    7.91
50.25961,4.95191,1983,10,07,   15.50,    8.40,   11.98,    7.10
50.25961,4.95191,1983,10,08,   12.66,    7.43,   10.68,    5.23
50.25961,4.95191,1983,10,09,   13.90,   10.55,   12.28,    3.35
50.25961,4.95191,1983,10,10,   14.44,    9.40,   11.79,    5.04
50.25961,4.95191,1983,10,11,   11.27,    6.98,    9.04,    4.29
50.25961,4.95191,1983,10,12,   13.38,    5.78,    9.11,    7.60
50.25961,4.95191,1983,10,13,   18.43,    6.02,   12.36,   12.41
50.25961,4.95191,1983,10,14,   14.61,    9.41,   11.43,    5.20
50.25961,4.95191,1983,10,15,   14.13,    9.39,   11.53,    4.74
50.25961,4.95191,1983,10,16,   11.48,    6.60,    9.32,    4.88
50.25961,4.95191,1983,10,17,   11.58,    5.69,    7.97,    5.89
50.25961,4.95191,1983,10,18,   12.82,    6.67,   10.06,    6.15
50.25961,4.95191,1983,10,19,   13.56,    5.20,   10.16,    8.36
50.25961,4.95191,1983,10,20,   10.61,    3.04,    6.42,    7.57
50.25961,4.95191,1983,10,21,   10.41,    1.34,    5.46,    9.07
50.25961,4.95191,1983,10,22,   11.38,    0.83,    4.67,   10.55
50.25961,4.95191,1983,10,23,   13.32,   -1.48,    5.26,   14.79
50.25961,4.95191,1983,10,24,   11.25,   -0.85,    4.80,   12.10
50.25961,4.95191,1983,10,25,    8.38,    2.90,    4.79,    5.48
50.25961,4.95191,1983,10,26,   12.44,    3.54,    6.78,    8.90
50.25961,4.95191,1983,10,27,   13.43,    3.88,    7.25,    9.55
50.25961,4.95191,1983,10,28,    9.13,    4.07,    6.73,    5.06
50.25961,4.95191,1983,10,29,    7.81,   -0.49,    4.00,    8.31
50.25961,4.95191,1983,10,30,    7.24,   -1.61,    2.38,    8.85
50.25961,4.95191,1983,10,31,    9.91,    3.69,    6.87,    6.22
50.25961,4.95191,1983,11,01,   10.70,    5.08,    8.08,    5.63
50.25961,4.95191,1983,11,02,   16.29,    7.73,   10.86,    8.55
50.25961,4.95191,1983,11,03,   11.24,    5.35,    7.26,    5.89
50.25961,4.95191,1983,11,04,   14.67,    5.99,    8.56,    8.69
50.25961,4.95191,1983,11,05,   15.24,    5.42,    9.07,    9.82
50.25961,4.95191,1983,11,06,   13.96,    5.19,    8.01,    8.77
50.25961,4.95191,1983,11,07,   13.23,    6.13,    7.99,    7.10
50.25961,4.95191,1983,11,08,   15.12,    5.97,    9.57,    9.16
50.25961,4.95191,1983,11,09,   16.06,    4.91,    9.37,   11.14
50.25961,4.95191,1983,11,10,   12.47,    2.58,    6.10,    9.89
50.25961,4.95191,1983,11,11,    9.58,    1.79,    4.27,    7.79
50.25961,4.95191,1983,11,12,    7.43,   -2.68,    1.91,   10.11
50.25961,4.95191,1983,11,13,    4.78,   -3.84,   -0.49,    8.62
50.25961,4.95191,1983,11,14,    2.01,   -5.29,   -2.84,    7.30
50.25961,4.95191,1983,11,15,    1.35,   -5.50,   -1.45,    6.85
50.25961,4.95191,1983,11,16,    5.03,    0.40,    1.80,    4.63
50.25961,4.95191,1983,11,17,    5.81,    1.67,    2.95,    4.13
50.25961,4.95191,1983,11,18,    4.20,   -1.91,    0.71,    6.11
50.25961,4.95191,1983,11,19,    5.15,   -1.17,    1.14,    6.32
50.25961,4.95191,1983,11,20,    3.50,   -1.46,    0.67,    4.96
50.25961,4.95191,1983,11,21,    5.18,   -3.24,    0.58,    8.42
50.25961,4.95191,1983,11,22,    3.44,   -2.75,   -0.59,    6.20
